Date,Guest,Primetime,Tucker
June 15 2020 Monday,Leo Terrell;Larry Elder;Shelby Talcott;Dave Rubin;Herschel Walker;Kayleigh McEnany,1,0
December 15 2020 Tuesday,Eugene Woods,0,0
January 3 2020 Friday,Norman Roule;Steve Hayes;Charles Lane,0,0
April 8 2020 Wednesday,William Barr;Scott Jensen,1,0
August 9 2020 Sunday,William Barr,1,0
February 16 2020 Sunday,Ben Domenech;Joe Trippi;Charlie Gasparino;David Bossie;Philippe Reines,0,0
August 1 2020 Saturday,Ben Shapiro,1,0
January 6 2020 Monday,Joe Lieberman;Leeza Garber;Mike Baker;Martha McSally;Dan Emmett;Kirk Lippold,0,0
September 9 2020 Wednesday,Rick Snyder;Sara Nelson;Siraj Hashmi;Bob Lahita;Robert Hanley;Lee Carter,0,0
March 3 2020 Tuesday,,0,0
February 11 2020 Tuesday,Mary Anne Marsh,0,0
July 10 2020 Friday,Lily Eskelsen Garcia;Rebecca Friedrichs;Robert Ray;Guy Reschenthaler;Gloria Allred;Kelly Loeffler;,0,0
December 12 2020 Saturday,Mike Baker;Dave Rubin,1,0
November 24 2020 Tuesday,Andrew Gruel;John Yoo;Ken Cuccinelli;Burgess Owens,1,0
April 17 2020 Friday,Shoshana Ungerleider;Mike Dunleavy; Heather Zumarraga;Jimmy John Liautaud;John Kennedy,0,0
February 7 2020 Friday,Thom Tillis;Patrice Onwuka;John Zogby;Amesh Adalja;Sohrab Ahmari;Heather Zumarraga,0,0
March 11 2020 Wednesday,Amy Walter;Mike Gallagher;Angus King;Guy Benson,0,0
July 14 2020 Tuesday,Robby Soave;Dean Cain;Jason Rantz;Scott Johnson;Isaac Morehouse;Michael Shellenberger,1,1
November 9 2020 Monday,Jason Miller;Eric Swalwell;Moncef Slaoui;Tom Cotton;Charlie LeDuff,0,0
December 21 2020 Monday,K.T. McFarland;Tom Cotton;Alyssa Farah;Charlie Kirk;Brian Morgenstern,0,0
December 14 2020 Monday,Rand Paul;Sohrab Ahmari;Brett Giroir;Scott Atlas;Charlie Kirk;Allen West,0,0
February 12 2020 Wednesday,Brad Woodhouse;Jenna Ellis;Ben Sasse;Rudy Giuliani,1,0
May 20 2020 Wednesday,Matt Whitaker;Kevin Walling;Mike Terzie;Cabot Phillips,1,0
July 27 2020 Monday,Emily Larsen;Kevin Cramer;Mark Morgan;James Clyburn;Ben Cardin,0,0
August 4 2020 Tuesday,Doug Eldridge;Harold Olin;Steve Moore;Leeza Garber;Joe Manchin,0,0
July 19 2020 Sunday,Ben Shapiro,1,0
February 23 2020 Sunday,Benjamin Netanyahu,1,0
February 24 2020 Monday,Reince Priebus;Eric Trump;Lindsey Graham;Larry Elder;Matt Schlapp;Joe Concha,1,0
April 8 2020 Wednesday,Eugene Scalia;W. Ian Lipkin;W. Scott Lynn;Lindsey Graham,0,0
January 10 2020 Friday,Bradley Byrne;Jillian Melchior;Russell Vought;Cathy Areu;Vince Coglianese;Patrice Onwuka;Aaron ,0,0
February 24 2020 Monday,Alayna Treene;Bill Simon;Kristen Hawn;Justin Sayfie;Art Hogan;Andrew Stoltmann;Alan Knuckman;,0,0
February 22 2020 Saturday,Darrell Issa;Stephanie Hamill;Charlie Kirk,1,0
September 4 2020 Friday,,1,0
May 25 2020 Monday,,1,0
December 2 2020 Wednesday,Betsy DeVos,0,0
December 9 2020 Wednesday,Betsy DeVos,0,0
October 29 2020 Thursday,Larry Kudlow;Donald Trump Jr.; Chris Bedford; John Daniel Davidson;Kimberley Strassel;Lara Logan,1,0
August 12 2020 Wednesday,Debbie Dingell;Mercedes Schlapp;Michael Hinojosa;Richard Fowler;Ron Johnson;John Erwin,0,0
November 6 2020 Friday,James Freeman;Marc Thiessen;Catherine Engelbrecht;Kevin Walling;Steve Moore,1,0
October 9 2020 Friday,Erin Perrine;Reince Priebus;Joe Concha;Pam Bondi;Ben Carlson,1,0
September 30 2020 Wednesday,Victor Davis Hanson;Peter Kirsanow;Sean Davis;Justin Haskins;Mark Steyn,1,1
November 23 2020 Monday,Sam Zell;Richard Besser; Michael Dukakis;Brad Raffensperger,0,0
August 5 2020 Wednesday,Alex Berenson;Phil Kerpen;Ramin Oskoui;Dinesh D'Souza;John McLaughlin;Bill Melugin;Kathryn ,1,0
March 3 2020 Tuesday,,1,1
November 5 2020 Thursday,Jim Trusty;Brian Silber;John Bussey;Heather Zumarraga,0,0
February 15 2020 Saturday,Rob O'Neill;Mark Steyn,1,0
October 16 2020 Friday,David Tafuri;Herschel Walker;Victor Davis Hanson,0,0
September 23 2020 Wednesday,Robert Nardelli;James Craig,0,0
September 15 2020 Tuesday,Raheem Kassam;Jason Whitlock;John MacArthur;Melissa Melendez;Tom Bevan;John McLaughlin;,1,0
May 20 2020 Wednesday,John Kennedy;Matt Gaetz;Larry Kudlow;Mark Cuban;Ron Johnson;Dennis Miller,1,0
May 1 2020 Friday,Lindsey Graham;Sidney Powell;Jay Sekulow;Tate Reeves;Rudy Giuliani,1,0
December 18 2020 Friday,Victor Davis Hanson;Jim Jordan;Jay Bhattacharya;Garry Leist;Kristen Waggoner,1,0
July 9 2020 Thursday,Mike Rowe;David Nelson;Nicole Anderson;Jason Nichols,1,1
December 8 2020 Tuesday,,0,0
September 28 2020 Monday,Victor Davis Hanson;Carter Snead;Scott Atlas;Dinesh D'Souza,1,0
March 10 2020 Tuesday,,1,0
June 16 2020 Tuesday,Brandon Tatum;Niger Innis;John Daniel Davidson;Nigel Farage;Bevelyn Beatty;David Henderson,1,0
October 20 2020 Tuesday,Robert Cahaly;Ted Cruz;Lindsey Graham;Herschel Walker;Larry Elder,1,0
October 30 2020 Friday,Frank Luntz;Charlie Hurt;Leslie Marshall;Bill McGurn,0,0
December 8 2020 Tuesday,Natasha Kathuria;Bob Lahita,0,0
June 26 2020 Friday,Phil Wegmann;John Kennedy;John Matze;Heather Zumarraga;Nim Kidd,0,0
June 29 2020 Monday,Tom Bevan;Kirsten Gillibrand;Ali Mokdad;Diana Fite;Ray Kelly,0,0
December 7 2020 Monday,Chad Bianco,1,0
December 16 2020 Wednesday,James Kenny;Bob Cusack;Chris Swecker;Jeffrey Thomas;Maggie Hassan,0,0
March 4 2020 Wednesday,Don Peebles;Robert Patillo;Ian Samuel,1,1
July 9 2020 Thursday,Barbara Perry;Ted Weisberg;Tom McClintock;Samuel Dewey,0,0
July 27 2020 Monday,,0,0
August 12 2020 Wednesday,Chadwick Moore;Ian Smith;Frank Trumbetti;Erica Sandberg;Peter Schweizer,1,1
August 11 2020 Tuesday,Richard Goodstein;Scott Atlas;Madeleine Westerhout;Ayaan Hirsi Ali,1,1
December 22 2020 Tuesday,Marsha Blackburn;Steve Scalise;Andy Davis;Michael Curran;John Daniel Davidson;Mark Morgan;,1,0
September 9 2020 Wednesday,Lara Logan;Jay Sekulow,1,0
October 15 2020 Thursday,John Yoo;Matthew Whitaker;John Thune,0,0
May 1 2020 Friday,Kerri Kupec;Jenna Ellis;Kevin Walling;Ronny Jackson;Alex Swoyer;Harmeet Dhillon,1,0
September 29 2020 Tuesday,Donald Trump Jr.;Mercedes Schlapp;Leo Terrell;Matt Gaetz,1,0
August 11 2020 Tuesday,Harmeet Dhillon;Cynthia Garrett;Horace Cooper;Dinesh D'Souza;Cynthia Garrett;Andrew Hitt,1,0
December 14 2020 Monday,Sean Davis;Miranda Devine;Tyler Hollinger;Bob Woodson,1,1
August 11 2020 Tuesday,Katrina Pierson;A. Scott Bolden;Charlie LeDuff;Carrie Londe;Ken Londe;Alex Azar;Herschel Walker;,0,0
November 10 2020 Tuesday,David Tafuri;Jeff Landry;Will Jawando;Sarah Palin,0,0
October 29 2020 Thursday,Kimberley Strassel;Susan Page;Steve Hayes,0,0
September 10 2020 Thursday,Kevin McCarthy;Dinesh D'souza;Candace Owens;Phil Kerpen;Josh Martinotti;Greg Martinotti;Bobby ,1,0
June 23 2020 Tuesday,Mollie Hemingway;Victor Davis Hanson;Shelby Talcott;David Bernhardt;Terry Turchie;Elizabeth Rogliani ,1,0
